sample_name,cycle_number,A,B,tau,R2,viscosity_cP,sample_type,expected_viscosity,correlation_factor
si5000_t1_ml_min,1,-0.07132774534631348,0.04611852979003218,6.22547464425249,0.8102733335085095,6600793.074322081,Si-5000cP,5000,1320.1586148644162
si5000_t1_ml_min,2,0.0006396500132919122,0.05460495075340767,5.124274502525646,0.9766744518456941,5433204.306380961,Si-5000cP,5000,1086.6408612761923
si5000_t1_ml_min,3,0.062394414840338266,-3.3145507485675706e-06,8.538880220528196,0.12798753779054717,9053668.13690256,Si-5000cP,5000,1810.733627380512
si5000_t1_ml_min,4,-0.005288648471477623,0.05389470536338719,4.884036349782325,0.9525329555627751,5178482.791058452,Si-5000cP,5000,1035.6965582116904
si5000_t1_ml_min,5,0.01196346705954347,0.050163517972120646,4.995698493147864,0.9148454187318193,5296876.76819088,Si-5000cP,5000,1059.375353638176
si5000_t2_ml_min,1,0.019551197817112585,0.0440786345681455,5.504179155493942,0.9133468255112882,5836012.468936013,Si-5000cP,5000,1167.2024937872027
si5000_t2_ml_min,2,0.016816462885539934,0.04523055461416281,5.44077997323717,0.9440973979029633,5768791.107173764,Si-5000cP,5000,1153.7582214347528
si5000_t2_ml_min,3,0.013886124414124009,0.0436803610006851,5.683920858815031,0.981736662157261,6026590.353896335,Si-5000cP,5000,1205.318070779267
si5000_t2_ml_min,4,0.009104690937369425,0.04351656879639014,5.798165762484878,0.9877769379798056,6147722.799548086,Si-5000cP,5000,1229.5445599096172
si5000_t2_ml_min,5,0.006886801660284055,0.04647006768848961,5.378472532350817,0.8695441633200834,5702727.305162281,Si-5000cP,5000,1140.5454610324562
si5000_t2_ml_min,6,0.0218521209835138,0.043102089495947044,5.636743187954562,0.9314796616149179,5976568.458232639,Si-5000cP,5000,1195.3136916465278
si5000_t3_ml_min,1,-0.0031503919911853397,0.03974379505901719,6.290394324930837,0.7147367349235167,6669626.601585796,Si-5000cP,5000,1333.9253203171593
si5000_t3_ml_min,2,0.021189046360319052,0.03799281002797828,6.0493503522001815,0.9376883491212912,6414050.685386877,Si-5000cP,5000,1282.8101370773752
si5000_t3_ml_min,3,0.02622459650283089,0.030257734044880063,6.96978485374984,0.9611700936236856,7389975.900897286,Si-5000cP,5000,1477.9951801794573
si5000_t3_ml_min,4,0.02794933563224922,0.02697362736743746,7.336784954536357,0.9552957736729952,7779101.527815239,Si-5000cP,5000,1555.8203055630477
si5000_t3_ml_min,5,0.03279418811397898,0.024012657186368355,7.874137458123035,0.95073676337073,8348849.681524134,Si-5000cP,5000,1669.7699363048268
si5000_t3_ml_min,6,0.036408901871688555,0.021213534652362184,8.52011361221065,0.9486320858016709,9033770.136299731,Si-5000cP,5000,1806.7540272599463
si5000_t3_ml_min,7,0.04197932146792748,0.019908669937279695,9.01514192792061,0.9716658484216502,9558642.481783982,Si-5000cP,5000,1911.7284963567965
si12500_t1_ml_min,1,-0.08428246790292984,0.04353444298688549,6.509970945761761,0.9689990681731845,6902440.952465391,Si-12500cP,12500,552.1952761972312
si12500_t1_ml_min,2,0.015428543386119278,0.036307532425711865,6.834736702690277,0.9628862257169175,7246786.031650543,Si-12500cP,12500,579.7428825320435
si12500_t1_ml_min,3,0.025261086817622017,0.035024355138440065,6.8893349154912835,0.864614320504424,7304675.835329779,Si-12500cP,12500,584.3740668263823
si12500_t1_ml_min,4,0.03540832961139733,0.03264886484040761,7.072391561580359,0.889266522221624,7498768.512738456,Si-12500cP,12500,599.9014810190765
si12500_t1_ml_min,5,0.035642128179726514,0.03204695958720783,7.315540880095217,0.9248171574366607,7756576.700798884,Si-12500cP,12500,620.5261360639107
si12500_t1_ml_min,6,0.03413660442483675,0.03422869573590974,6.971763682205105,0.842942508485173,7392074.028013784,Si-12500cP,12500,591.3659222411028
si12500_t2_ml_min,1,0.039650254886515156,0.026914128483511254,7.916041358501924,0.9447805454807024,8393279.864159772,Si-12500cP,12500,671.4623891327818
si12500_t2_ml_min,2,0.04015943423216686,0.027575020566293986,7.876867502553881,0.8804480356897899,8351744.313564808,Si-12500cP,12500,668.1395450851846
si12500_t2_ml_min,3,0.04272043406261955,0.0279044679031993,7.7215820937364175,0.888798670580517,8187097.13246647,Si-12500cP,12500,654.9677705973176
si12500_t2_ml_min,4,0.03981089310304122,0.027803589132836124,7.844463134063051,0.9338549104923504,8317386.366041492,Si-12500cP,12500,665.3909092833194
si12500_t2_ml_min,5,0.040004001482369184,0.02878207834017067,7.604083469914581,0.847588373030515,8062514.807942082,Si-12500cP,12500,645.0011846353666
si12500_t2_ml_min,6,0.0416040241495283,0.028096919792050312,7.549911569818614,0.8720962523039605,8005077.018303867,Si-12500cP,12500,640.4061614643094
si12500_t2_ml_min,7,0.0408619050213997,0.027877177257020713,7.663782178884615,0.9017260502574347,8125812.604058138,Si-12500cP,12500,650.0650083246511
si12500_t3_ml_min,1,0.03919888426549433,0.02502951548393519,7.852803179013397,0.8172308359017086,8326229.211623475,Si-12500cP,12500,666.098336929878
si12500_t3_ml_min,2,0.04551854959138777,0.026603234351488855,7.43510004273786,0.8458800926677368,7883343.788920658,Si-12500cP,12500,630.6675031136526
si12500_t3_ml_min,3,0.04462787223497171,0.02602397101938705,7.6483870041812185,0.8664603144353211,8109489.292442877,Si-12500cP,12500,648.7591433954301
si12500_t3_ml_min,4,0.044624840245185954,0.025460359440824275,7.869112649355928,0.891648006947657,8343521.939495036,Si-12500cP,12500,667.4817551596029
si12500_t3_ml_min,5,0.04174180708666939,0.023986610084116875,8.483975560342351,0.94202646139793,8995453.410885464,Si-12500cP,12500,719.6362728708372
si12500_t3_ml_min,6,0.038791231214624224,0.025750030179997118,7.947351275089193,0.8677669457838593,8426477.37798786,Si-12500cP,12500,674.1181902390288
