mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.016489028930664062,0.0,0.0013535022735595703,0.0004939610645476781,0.3,1.0,10,0.206229201296579,1e-06,0.9118579013531343,"OrderedDict({'colsample_bytree': 0.3, 'learning_rate': 1.0, 'max_depth': 10, 'reg_alpha': 0.206229201296579, 'reg_lambda': 1e-06, 'subsample': 0.9118579013531343})",-3038.3076171875,-2895.923095703125,-1861.576904296875,-2598.6025390625,524.3875333604833,30
0.008048693339029947,0.00030570514119901806,0.0,0.0,0.8642304349031147,0.07353237572726302,7,0.019151360424730438,163.8436624017493,0.8006313883342417,"OrderedDict({'colsample_bytree': 0.8642304349031147, 'learning_rate': 0.07353237572726302, 'max_depth': 7, 'reg_alpha': 0.019151360424730438, 'reg_lambda': 163.8436624017493, 'subsample': 0.8006313883342417})",-819.7080688476562,-1110.0657958984375,-322.73492431640625,-750.8362630208334,325.09482674538305,2
0.01916217803955078,0.001672049774124188,0.0011823177337646484,0.001672049774124188,0.3,0.01,10,1e-06,1e-06,0.7630689832084634,"OrderedDict({'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 10, 'reg_alpha': 1e-06, 'reg_lambda': 1e-06, 'subsample': 0.7630689832084634})",-3148.921875,-1449.484619140625,-1737.5596923828125,-2111.988728841146,742.594359507283,29
0.019618511199951172,0.0,0.0,0.0,0.8841561065539927,0.06808273811430074,7,0.023906546942862796,400.99346881148745,0.7931714282687442,"OrderedDict({'colsample_bytree': 0.8841561065539927, 'learning_rate': 0.06808273811430074, 'max_depth': 7, 'reg_alpha': 0.023906546942862796, 'reg_lambda': 400.99346881148745, 'subsample': 0.7931714282687442})",-1074.9061279296875,-1135.56103515625,-321.8092956542969,-844.0921529134115,370.1389754157432,12
0.020735502243041992,0.0,0.0,0.0,0.8303083901341635,0.10084438668414328,7,0.028238941770813496,29.654476113830277,0.8122524276020358,"OrderedDict({'colsample_bytree': 0.8303083901341635, 'learning_rate': 0.10084438668414328, 'max_depth': 7, 'reg_alpha': 0.028238941770813496, 'reg_lambda': 29.654476113830277, 'subsample': 0.8122524276020358})",-983.4917602539062,-1256.363037109375,-304.71405029296875,-848.1896158854166,400.11577593675463,13
0.007591406504313151,0.0007093033625393394,0.0010031064351399739,0.0007093033625393394,0.4739116915984316,1.0,6,0.0021290828494713076,0.049000857978634065,0.6804719927124682,"OrderedDict({'colsample_bytree': 0.4739116915984316, 'learning_rate': 1.0, 'max_depth': 6, 'reg_alpha': 0.0021290828494713076, 'reg_lambda': 0.049000857978634065, 'subsample': 0.6804719927124682})",-769.3076782226562,-1592.0,-670.8846435546875,-1010.7307739257812,412.97877937734603,17
0.017041683197021484,0.0,0.003465414047241211,0.0,0.7889638404350084,1.0,9,1.0,1000.0,0.75866802183685,"OrderedDict({'colsample_bytree': 0.7889638404350084, 'learning_rate': 1.0, 'max_depth': 9, 'reg_alpha': 1.0, 'reg_lambda': 1000.0, 'subsample': 0.75866802183685})",-1042.0,-2395.923095703125,-1333.75,-1590.5576985677083,581.8015599854848,26
0.009332736333211264,0.0014426585266288955,0.0008910497029622396,0.0012601345746777169,0.9083911095644448,0.06839974189964707,6,0.06980379444597992,15.562912957925288,0.7848976218011108,"OrderedDict({'colsample_bytree': 0.9083911095644448, 'learning_rate': 0.06839974189964707, 'max_depth': 6, 'reg_alpha': 0.06980379444597992, 'reg_lambda': 15.562912957925288, 'subsample': 0.7848976218011108})",-828.7874145507812,-1172.09130859375,-303.6685791015625,-768.1824340820312,357.11271051576836,4
0.008753140767415365,0.000321102789854998,0.0,0.0,0.8877068383349929,0.07845557455509054,6,0.06672468329901111,8.438167304867024,0.7815518889817333,"OrderedDict({'colsample_bytree': 0.8877068383349929, 'learning_rate': 0.07845557455509054, 'max_depth': 6, 'reg_alpha': 0.06672468329901111, 'reg_lambda': 8.438167304867024, 'subsample': 0.7815518889817333})",-822.5743408203125,-1015.6600341796875,-273.39501953125,-703.87646484375,314.43730409921346,1
0.005813439687093099,0.0041107226247625315,0.0029067198435465493,0.0041107226247625315,0.7891317461443126,0.01,6,1e-06,1e-06,0.8032543248300406,"OrderedDict({'colsample_bytree': 0.7891317461443126, 'learning_rate': 0.01, 'max_depth': 6, 'reg_alpha': 1e-06, 'reg_lambda': 1e-06, 'subsample': 0.8032543248300406})",-3333.407958984375,-1390.8289794921875,-1369.218505859375,-2031.1518147786458,920.8764129834283,28
