pump,liquid,known_viscosity_cP,cycle_number,A,B,tau_normalized,tau_physical,tau,A_error,B_error,tau_normalized_error,tau_physical_error,tau_error,r_squared,rmse,cycle_duration,cycle_amplitude,time_span_normalized,time_span_physical
3-Roller Pump,F5000,5000.0,3,-0.0041038961038960976,0.2873116883116879,0.4373176481065056,48.76091776387537,48.76091776387537,0.0046482818764333605,0.03566279454912757,0.0338642689723387,3.775865990415765,3.775865990415765,0.5964649055802695,0.01677520368912049,111.5,0.10300000000000001,0.9551569506726457,106.5
3-Roller Pump,F5000,5000.0,4,-0.003928138528138522,0.27113367625936663,0.4522093735510537,49.7430310906159,49.7430310906159,0.004255918809753244,0.03215177455961713,0.03418993536282211,3.760892889910432,3.760892889910432,0.6229867962004618,0.01538783819552693,110.0,0.1,0.9545454545454546,105.0
3-Roller Pump,F5000,5000.0,5,-0.003801731601731596,0.2649610389566354,0.4338696205941197,48.81033231683847,48.81033231683847,0.0046890130229144174,0.03609936257079939,0.0367181864253509,4.130795972851976,4.130795972851976,0.5615108618404219,0.016964535367806694,112.5,0.097,0.9555555555555556,107.5
3-Roller Pump,F5000,5000.0,6,-0.0037735930735930674,0.25118451937472974,0.4523192411093362,49.75511652202698,49.75511652202698,0.003977446556917359,0.030015615473499832,0.034518646464088434,3.797051111049728,3.797051111049728,0.6239736272238828,0.014385491050209259,110.0,0.096,0.9545454545454546,105.0
3-Roller Pump,F5000,5000.0,7,-0.0036047619047618992,0.20787127415955844,0.5065746205426802,55.97649556996616,55.97649556996616,0.0039514356238775205,0.028300382207279113,0.04754668760589828,5.25390898045176,5.25390898045176,0.6003425847837276,0.014720920190189953,110.5,0.09,0.9547511312217195,105.5
3-Roller Pump,F5000,5000.0,8,-0.0037363636363633586,0.2206594081270781,0.47288149538668034,52.726286735614856,52.726286735614856,0.0037183396832263477,0.027431720511760325,0.03866659480763883,4.311325321051729,4.311325321051729,0.618816043118817,0.013686418000488048,111.5,0.087,0.9551569506726457,106.5
3-Roller Pump,F5000,5000.0,9,-0.0032645021645011665,0.21177530940140854,0.47425887496521746,52.87986455862175,52.87986455862175,0.0036362259571362425,0.02684432568187178,0.039551821921794836,4.410028144280124,4.410028144280124,0.6087242980895686,0.01339467877098249,111.5,0.08399999999999999,0.9551569506726457,106.5
3-Roller Pump,F12500,12500.0,1,-0.0019489177489177458,0.16110389610389564,0.4609458746759296,50.934519151690225,50.934519151690225,0.002864530671175222,0.02151339667995246,0.039617717175829494,4.377757747929159,4.377757747929159,0.5613984890639395,0.010432443642068587,110.5,0.054000000000000006,0.9547511312217195,105.5
3-Roller Pump,F12500,12500.0,2,-0.0015519480519480473,0.14910389610389457,0.48896665327445943,53.541848533553306,53.541848533553306,0.0027276552070477555,0.02001239934592404,0.043789942519971155,4.794998705936841,4.794998705936841,0.5527443017543312,0.010030676998979847,109.5,0.052000000000000005,0.954337899543379,104.5
3-Roller Pump,F12500,12500.0,3,-0.001593939393939392,0.15009090909089393,0.4768250526537387,53.16599337089187,53.16599337089187,0.002823897539298068,0.020908555521649445,0.04362561981445942,4.864256609312226,4.864256609312226,0.5356360516770377,0.01042120104683873,111.5,0.052000000000000005,0.9551569506726457,106.5
