sample_name,trial,cycle_number,line1_slope,line1_intercept,line2_quad_coeff,line2_line_coeff,line2_const_coeff,line3_quad_coeff,line3_line_coeff,line3_const_coeff,line4_slope,line4_intercept,max_peak,min_peak,time_line1,time_line2,time_line3,time_line4,viscosity_cp
si1000,t1,6,0.028797142857143188,-2.316123237142884,-0.0070685543028390935,1.179908375258872,-49.12110227182216,0.0011230540887696,-0.20648566846889352,9.55349338526112,-0.10086114285714332,9.196336108000041,0.11183428571428569,-0.08075142857142893,1.5,6.0,5.5,1.5,1000
si1000,t2,1,0.03581028571428562,-0.4467241965714276,-0.008087190168884916,0.2522044366681881,-1.8453163016938348,0.000700998889785923,-0.03653223778444634,0.5380657355558612,-0.1129851428571427,2.6700088068571386,0.11604571428571427,-0.09180571428571495,1.5,5.501000000000001,6.004000000000001,1.5,1000
si1000,t2,2,0.033915428571428256,-0.9230597577142775,-0.008336192468119721,0.5035487496993456,-7.482009044700339,0.0002981133152561745,-0.02950444536035411,0.7538954014072363,-0.10536057142857154,4.013617619428576,0.11891999999999997,-0.08771428571428568,1.5,5.500999999999998,6.0000000000000036,1.5,1000
si1000,t2,3,0.03063428571428559,-1.2814403085714237,-0.009779287379286381,0.8678824567431686,-19.13601858350628,0.00019332810047107042,-0.02712290926217746,0.9568285603886538,-0.10980399999999967,5.784176113142839,0.1189142857142857,-0.08684285714285751,1.5,5.0,6.5,1.5,1000
si1000,t2,4,0.027378857142856976,-1.5527255897142769,-0.01013708957708896,1.1948610879253372,-35.08829186256515,0.00021497338236635391,-0.03568735612580251,1.492172079262438,-0.11308571428571249,7.610479142857019,0.11965142857142855,-0.09370285714285732,1.5,5.0,6.500999999999998,1.5,1000
si1000,t2,5,0.029525714285714693,-2.1036086000000283,-0.007904547765251946,1.170292458215636,-43.189294095352366,0.0012998651876459757,-0.21304386535259198,8.800345219772,-0.10066914285714385,8.250002638285793,0.12354285714285712,-0.09225142857142853,1.5,6.004000000000005,5.507999999999996,1.5,1000
si1000,t2,6,0.017312571428571066,-1.5115011537142555,-0.009379808762668248,1.657166067258895,-73.07111312376374,-6.279434849017788e-07,-0.00962482009422576,0.9900573085924818,-0.0977051428571418,9.434350610285605,0.11966285714285713,-0.08142285714285742,1.5,5.5,6.5,1.5,1000
si1000,t3,1,0.03683828571428565,-0.27368158228571393,-0.007485601784608769,0.1604989403933197,-0.7369383600342633,0.000726462109319261,-0.030996578530041716,0.39255660980675605,-0.10777485714285685,2.018544259428566,0.12234285714285713,-0.08486285714285738,1.5,5.502000000000001,6.0,1.5,1000
si1000,t3,2,0.02417657142857134,-0.5571524462857124,-0.010844366517213818,0.538568183029067,-6.564655072716534,0.00022765124597042173,-0.022040688750885353,0.5452640084508484,-0.11422685714285807,3.7939771760000327,0.1204342857142857,-0.09235714285714289,1.5,5.004000000000001,6.501000000000001,1.5,1000
si1000,t3,3,0.0337285714285722,-1.242525057142885,-0.009163423243423138,0.7250823527405839,-14.222670923340806,0.0001100156985870748,-0.018575287660905944,0.6980632977701985,-0.11536685714285819,5.504685421714337,0.12169142857142855,-0.09660000000000032,1.5,5.0,6.5,1.5,1000
