time_s,s1_flow_ml_min,s1_temp_c
540,0.035,32.2
540.5,0.034,32.2
541,0.042,32.2
541.5,0.045,32.3
542,0.046,32.3
542.5,0.046,32.3
543,0.042,32.3
543.5,0.049,32.3
544,0.047,32.3
544.5,0.047,32.3
545,0.049,32.3
545.5,0.043,32.3
546,0.042,32.3
546.5,0.039,32.3
547,0.041,32.3
547.5,0.035,32.3
548,0.033,32.3
548.5,0.034,32.3
549,0.03,32.4
549.5,0.029,32.3
550,0.025,32.4
550.5,0.03,32.4
551,0.031,32.4
551.5,0.028,32.4
552,0.029,32.4
552.5,0.028,32.5
553,0.029,32.5
553.5,0.03,32.5
554,0.025,32.5
554.5,0.023,32.5
555,0.024,32.5
555.5,0.023,32.5
556,0.018,32.5
556.5,0.016,32.6
557,0.011,32.6
557.5,0.004,32.6
558,-0.004,32.7
558.5,-0.025,32.7
559,-0.057,32.7
559.5,-0.098,32.8
560,-0.127,32.8
560.5,-0.142,32.8
561,-0.148,32.7
561.5,-0.127,32.7
562,-0.097,32.7
562.5,-0.07,32.7
563,-0.052,32.8
563.5,-0.038,32.8
564,-0.032,32.9
564.5,-0.025,32.9
565,-0.023,32.9
565.5,-0.027,33
566,-0.024,33
566.5,-0.022,33
567,-0.022,33.1
567.5,-0.026,33.1
568,-0.031,33.1
568.5,-0.034,33.2
569,-0.037,33.2
569.5,-0.034,33.2
570,-0.034,33.2
570.5,-0.034,33.2
571,-0.035,33.3
571.5,-0.035,33.3
572,-0.033,33.3
572.5,-0.03,33.3
573,-0.026,33.3
573.5,-0.021,33.3
574,-0.018,33.3
574.5,-0.013,33.4
575,-0.013,33.4
575.5,-0.007,33.4
576,0.011,33.4
576.5,0.02,33.4
577,0.024,33.4
577.5,0.025,33.4
578,0.025,33.4
578.5,0.025,33.4
579,0.022,33.4
579.5,0.032,33.4
580,0.039,33.3
580.5,0.045,33.3
581,0.059,33.3
581.5,0.061,33.2
582,0.07,33.1
582.5,0.072,33.1
583,0.074,33
583.5,0.073,33
584,0.068,32.9
584.5,0.067,32.8
585,0.064,32.8
585.5,0.075,32.8
586,0.074,32.7
586.5,0.067,32.7
587,0.067,32.6
587.5,0.061,32.6
588,0.058,32.6
588.5,0.05,32.6
589,0.051,32.6
589.5,0.053,32.6
590,0.06,32.6
590.5,0.068,32.6
591,0.067,32.6
591.5,0.071,32.5
592,0.076,32.5
592.5,0.067,32.5
593,0.068,32.5
593.5,0.062,32.4
594,0.064,32.4
594.5,0.063,32.4
595,0.054,32.4
595.5,0.063,32.4
596,0.063,32.4
596.5,0.067,32.4
597,0.061,32.4
597.5,0.057,32.4
598,0.053,32.4
598.5,0.043,32.4
599,0.042,32.4
599.5,0.058,32.4
600,0.068,32.4
600.5,0.076,32.4
601,0.081,32.4
601.5,0.083,32.3
602,0.078,32.3
602.5,0.08,32.3
603,0.074,32.2
603.5,0.07,32.2
604,0.063,32.2
604.5,0.053,32.2
605,0.073,32.2
605.5,0.073,32.2
606,0.075,32.2
606.5,0.071,32.2
607,0.06,32.2
607.5,0.054,32.2
608,0.046,32.2
608.5,0.048,32.2
609,0.059,32.2
609.5,0.071,32.3
610,0.075,32.2
610.5,0.068,32.2
611,0.075,32.2
611.5,0.073,32.2
612,0.068,32.1
612.5,0.062,32.1
613,0.053,32.1
613.5,0.055,32.1
614,0.057,32.2
614.5,0.058,32.2
615,0.063,32.2
615.5,0.062,32.2
616,0.058,32.2
616.5,0.046,32.2
617,0.041,32.2
617.5,0.035,32.2
618,0.04,32.2
618.5,0.051,32.2
619,0.051,32.3
619.5,0.054,32.3
620,0.054,32.3
620.5,0.06,32.2
621,0.059,32.2
621.5,0.056,32.2
622,0.053,32.2
622.5,0.045,32.2
623,0.046,32.2
623.5,0.035,32.3
624,0.04,32.2
624.5,0.043,32.3
625,0.039,32.3
625.5,0.039,32.3
626,0.033,32.3
626.5,0.028,32.3
627,0.023,32.3
627.5,0.02,32.4
628,0.023,32.4
628.5,0.03,32.4
629,0.037,32.4
629.5,0.039,32.4
630,0.04,32.4
630.5,0.041,32.4
631,0.033,32.4
631.5,0.032,32.4
632,0.028,32.4
