time_s,0.0_ml_min,0.1_ml_min,0.2_ml_min,0.3_ml_min,0.4_ml_min
0,0.056,0.054,-0.076,0.076,0.049
0.5,0.057,0.047,-0.063,0.07,0.041
1,0.052,0.041,-0.058,0.068,0.042
1.5,0.048,0.048,-0.049,0.062,0.036
2,0.046,0.056,-0.045,0.054,0.029
2.5,0.04,0.053,-0.039,0.052,0.04
3,0.036,0.058,-0.031,0.058,0.037
3.5,0.032,0.06,-0.031,0.074,0.034
4,0.031,0.059,-0.035,0.076,0.032
4.5,0.028,0.059,-0.04,0.075,0.028
5,0.024,0.057,-0.046,0.081,0.021
5.5,0.02,0.055,-0.034,0.074,0.017
6,0.008,0.049,-0.024,0.078,0.024
6.5,-0.005,0.045,-0.031,0.072,0.022
7,-0.026,0.041,-0.027,0.07,0.028
7.5,-0.06,0.043,-0.016,0.065,0.03
8,-0.117,0.051,-0.013,0.066,0.028
8.5,-0.21,0.048,-0.003,0.064,0.031
9,-0.359,0.044,-0.011,0.062,0.03
9.5,-0.552,0.039,-0.021,0.07,0.031
10,-0.767,0.033,-0.021,0.066,0.027
10.5,-1.044,0.026,-0.015,0.052,0.026
11,-0.952,0.027,-0.016,0.048,0.021
11.5,-0.585,0.034,-0.003,0.041,0.015
12,-0.336,0.037,0.011,0.041,0.007
12.5,-0.198,0.04,0.024,0.045,-0.031
13,-0.128,0.04,0.035,0.053,-0.089
13.5,-0.091,0.038,0.044,0.052,-0.17
14,-0.069,0.037,0.044,0.047,-0.276
14.5,-0.053,0.029,0.049,0.054,-0.374
15,-0.048,0.019,0.047,0.053,-0.358
15.5,-0.047,-0.007,0.048,0.055,-0.231
16,-0.045,-0.042,0.047,0.049,-0.124
16.5,-0.043,-0.064,0.042,0.044,-0.068
17,-0.039,-0.092,0.056,0.045,-0.048
17.5,-0.043,-0.117,0.062,0.04,-0.048
18,-0.047,-0.168,0.067,0.045,-0.052
18.5,-0.049,-0.249,0.064,0.039,-0.05
19,-0.047,-0.416,0.059,0.037,-0.047
19.5,-0.04,-0.687,0.057,0.038,-0.028
20,-0.036,-1.031,0.048,0.034,-0.018
20.5,-0.028,-0.974,0.048,0.036,-0.017
21,-0.023,-0.507,0.06,0.028,-0.025
21.5,-0.016,-0.221,0.076,0.027,-0.033
22,-0.009,-0.109,0.079,0.027,-0.026
22.5,-0.001,-0.071,0.077,0.03,-0.025
23,-0.001,-0.057,0.081,0.035,-0.033
23.5,0.006,-0.049,0.076,0.034,-0.038
24,0.014,-0.05,0.079,0.039,-0.042
24.5,0.023,-0.054,0.075,0.037,-0.042
25,0.025,-0.048,0.069,0.035,-0.038
25.5,0.026,-0.032,0.066,0.033,-0.031
26,0.028,-0.033,0.062,0.028,-0.036
26.5,0.027,-0.029,0.066,0.032,-0.035
27,0.028,-0.005,0.069,0.027,-0.029
27.5,0.038,0.007,0.069,0.029,-0.02
28,0.047,-0.001,0.067,0.025,-0.008
28.5,0.057,-0.027,0.059,0.021,-0.001
29,0.07,-0.057,0.058,0.023,0.007
29.5,0.079,-0.076,0.047,0.021,0.014
30,0.08,-0.062,0.04,0.02,0.021
30.5,0.079,-0.034,0.054,0.01,0.023
31,0.078,-0.019,0.064,-0.004,0.024
31.5,0.074,-0.015,0.074,-0.02,0.03
32,0.073,-0.011,0.072,-0.047,0.035
32.5,0.067,-0.007,0.079,-0.107,0.037
33,0.074,0.003,0.077,-0.209,0.036
33.5,0.074,0.017,0.073,-0.352,0.036
34,0.075,0.021,0.072,-0.527,0.032
34.5,0.07,0.023,0.067,-0.564,0.028
35,0.063,0.027,0.073,-0.352,0.031
35.5,0.062,0.034,0.069,-0.16,0.042
36,0.058,0.039,0.072,-0.089,0.058
36.5,0.058,0.037,0.07,-0.066,0.061
37,0.063,0.038,0.069,-0.05,0.07
37.5,0.073,0.05,0.067,-0.036,0.073
38,0.081,0.056,0.061,-0.032,0.07
38.5,0.082,0.058,0.057,-0.036,0.077
39,0.084,0.055,0.05,-0.038,0.07
39.5,0.083,0.055,0.053,-0.041,0.07
40,0.079,0.058,0.065,-0.045,0.068
40.5,0.079,0.062,0.066,-0.041,0.063
41,0.075,0.067,0.074,-0.041,0.069
41.5,0.079,0.072,0.073,-0.042,0.067
42,0.075,0.076,0.076,-0.04,0.068
42.5,0.077,0.075,0.078,-0.037,0.062
43,0.079,0.081,0.073,-0.039,0.059
43.5,0.074,0.081,0.075,-0.049,0.054
44,0.074,0.081,0.073,-0.046,0.041
44.5,0.069,0.079,0.074,-0.039,0.041
45,0.064,0.074,0.072,-0.031,0.055
45.5,0.058,0.072,0.069,-0.022,0.069
46,0.056,0.058,0.066,-0.018,0.068
46.5,0.066,0.076,0.057,-0.017,0.068
47,0.073,0.076,0.058,-0.009,0.073
47.5,0.084,0.073,0.053,-0.005,0.073
48,0.084,0.069,0.05,0.004,0.077
48.5,0.086,0.057,0.046,0.006,0.075
49,0.088,0.054,0.039,0.011,0.079
49.5,0.083,0.051,0.05,0.017,0.068
50,0.083,0.058,0.055,0.015,0.062
50.5,0.081,0.061,0.06,0.02,0.082
51,0.081,0.057,0.063,0.036,0.073
51.5,0.079,0.071,0.06,0.041,0.071
52,0.079,0.074,0.06,0.039,0.068
52.5,0.079,0.083,0.055,0.041,0.056
53,0.075,0.085,0.065,0.047,0.058
53.5,0.075,0.083,0.066,0.049,0.05
54,0.069,0.081,0.06,0.057,0.059
54.5,0.062,0.07,0.061,0.059,0.068
55,0.055,0.074,0.05,0.054,0.069
55.5,0.046,0.069,0.058,0.058,0.071
56,0.047,0.082,0.05,0.056,0.073
56.5,0.061,0.085,0.051,0.059,0.078
57,0.071,0.08,0.051,0.058,0.076
57.5,0.08,0.076,0.045,0.062,0.076
58,0.082,0.068,0.039,0.06,0.074
58.5,0.084,0.067,0.035,0.056,0.064
59,0.077,0.064,0.04,0.051,0.074
59.5,0.076,0.064,0.041,0.049,0.075
60,0.07,0.064,0.043,0.06,0.081
60.5,0.066,0.063,0.044,0.064,0.078
61,0.066,0.077,0.038,0.057,0.074
61.5,0.058,0.08,0.043,0.067,0.069
62,0.061,0.084,0.04,0.071,0.062
62.5,0.064,0.083,0.041,0.078,0.058
63,0.064,0.08,0.04,0.078,0.052
63.5,0.061,0.079,0.038,0.081,0.052
64,0.053,0.075,0.037,0.084,0.07
64.5,0.044,0.076,0.033,0.079,0.065
65,0.039,0.072,0.037,0.081,0.073
65.5,0.047,0.086,0.033,0.074,0.066
66,0.056,0.087,0.031,0.07,0.072
66.5,0.058,0.071,0.031,0.065,0.073
67,0.062,0.072,0.028,0.064,0.069
67.5,0.059,0.064,0.03,0.07,0.064
68,0.064,0.059,0.024,0.061,0.059
68.5,0.064,0.049,0.023,0.058,0.06
69,0.063,0.039,0.027,0.052,0.061
69.5,0.057,0.047,0.027,0.052,0.061
70,0.053,0.061,0.029,0.059,0.06
70.5,0.044,0.072,0.029,0.057,0.054
71,0.04,0.076,0.029,0.062,0.058
71.5,0.044,0.077,0.03,0.07,0.048
72,0.048,0.076,0.029,0.077,0.044
72.5,0.045,0.066,0.029,0.079,0.041
73,0.044,0.066,0.024,0.07,0.039
73.5,0.037,0.064,0.024,0.068,0.051
74,0.032,0.063,0.022,0.067,0.054
74.5,0.026,0.059,0.02,0.069,0.058
75,0.026,0.054,0.019,0.069,0.06
75.5,0.032,0.06,0.01,0.065,0.062
76,0.032,0.059,-0.003,0.064,0.061
76.5,0.037,0.057,-0.028,0.066,0.057
77,0.041,0.055,-0.067,0.066,0.059
77.5,0.044,0.045,-0.124,0.063,0.051
78,0.043,0.037,-0.195,0.061,0.055
78.5,0.039,0.03,-0.299,0.056,0.049
79,0.033,0.038,-0.447,0.051,0.037
79.5,0.029,0.044,-0.643,0.061,0.043
80,0.03,0.058,-0.667,0.062,0.047
80.5,0.028,0.054,-0.403,0.074,0.049
81,0.03,0.052,-0.195,0.075,0.043
81.5,0.032,0.057,-0.11,0.069,0.034
82,0.033,0.055,-0.082,0.078,0.029
82.5,0.032,0.054,-0.067,0.074,0.023
83,0.027,0.047,-0.06,0.079,0.031
83.5,0.021,0.042,-0.056,0.072,0.029
84,0.014,0.045,-0.05,0.065,0.033
84.5,0.016,0.042,-0.049,0.066,0.031
85,0.026,0.045,-0.045,0.067,0.033
85.5,0.025,0.048,-0.044,0.07,0.038
86,0.023,0.042,-0.045,0.063,0.035
86.5,0.015,0.04,-0.049,0.06,0.035
87,-0.008,0.037,-0.051,0.06,0.03
87.5,-0.043,0.035,-0.054,0.05,0.021
88,-0.104,0.024,-0.051,0.046,0.016
88.5,-0.2,0.03,-0.043,0.033,0.02
89,-0.341,0.033,-0.039,0.038,0.028
89.5,-0.532,0.032,-0.032,0.048,0.029
90,-0.765,0.033,-0.028,0.045,0.026
90.5,-0.923,0.032,-0.023,0.055,0.025
91,-0.764,0.035,-0.015,0.055,0.019
91.5,-0.469,0.033,-0.007,0.062,0.013
92,-0.268,0.031,-0.001,0.062,0.003
92.5,-0.167,0.03,0.005,0.057,0.003
93,-0.116,0.025,0.016,0.054,0.006
93.5,-0.097,0.025,0.022,0.045,-0.002
94,-0.08,0.019,0.022,0.05,-0.016
94.5,-0.063,0.018,0.026,0.051,-0.048
95,-0.054,0.02,0.033,0.051,-0.122
95.5,-0.052,0.02,0.036,0.042,-0.255
96,-0.054,0.015,0.034,0.044,-0.388
96.5,-0.057,-0.007,0.034,0.046,-0.38
97,-0.055,-0.043,0.03,0.043,-0.185
97.5,-0.05,-0.087,0.034,0.042,-0.078
98,-0.049,-0.143,0.046,0.031,-0.04
98.5,-0.048,-0.219,0.049,0.028,-0.011
99,-0.046,-0.327,0.055,0.033,0
99.5,-0.041,-0.464,0.055,0.037,-0.01
100,-0.037,-0.625,0.065,0.041,-0.019
100.5,-0.032,-0.742,0.07,0.04,-0.044
101,-0.021,-0.673,0.073,0.043,-0.063
101.5,-0.014,-0.418,0.074,0.044,-0.06
102,-0.012,-0.212,0.067,0.038,-0.044
102.5,-0.009,-0.112,0.073,0.036,-0.03
103,-0.001,-0.064,0.069,0.033,-0.031
103.5,0.007,-0.04,0.066,0.034,-0.042
104,0.017,-0.027,0.075,0.032,-0.048
104.5,0.019,-0.021,0.075,0.033,-0.047
105,0.018,-0.024,0.073,0.031,-0.041
105.5,0.022,-0.031,0.067,0.029,-0.034
106,0.03,-0.037,0.065,0.034,-0.028
106.5,0.037,-0.044,0.057,0.031,-0.024
107,0.042,-0.046,0.051,0.026,-0.02
107.5,0.046,-0.048,0.056,0.02,-0.016
108,0.054,-0.049,0.054,0.013,-0.019
108.5,0.057,-0.046,0.063,0.014,-0.015
109,0.059,-0.049,0.062,0.02,-0.004
109.5,0.056,-0.051,0.068,0.022,0.001
110,0.06,-0.053,0.071,0.024,0.006
110.5,0.065,-0.055,0.067,0.022,0.01
111,0.064,-0.05,0.07,0.018,0.011
111.5,0.063,-0.04,0.063,-0.004,0.02
112,0.057,-0.033,0.063,-0.053,0.023
112.5,0.057,-0.028,0.059,-0.142,0.024
113,0.065,-0.021,0.059,-0.22,0.028
113.5,0.066,-0.014,0.065,-0.245,0.03
114,0.067,-0.004,0.065,-0.217,0.039
114.5,0.068,0.009,0.069,-0.141,0.047
115,0.079,0.02,0.064,-0.073,0.049
115.5,0.081,0.023,0.062,-0.042,0.062
116,0.082,0.023,0.057,-0.038,0.063
116.5,0.08,0.024,0.045,-0.04,0.062
117,0.08,0.022,0.039,-0.041,0.056
117.5,0.083,0.032,0.036,-0.032,0.052
118,0.077,0.041,0.061,-0.037,0.073
118.5,0.074,0.048,0.069,-0.047,0.068
119,0.069,0.056,0.073,-0.041,0.068
119.5,0.071,0.059,0.086,-0.04,0.06
120,0.082,0.068,0.08,-0.027,0.054
120.5,0.076,0.068,0.084,-0.027,0.049
121,0.075,0.069,0.075,-0.038,0.043
121.5,0.068,0.069,0.071,-0.04,0.057
122,0.062,0.07,0.069,-0.036,0.056
122.5,0.068,0.075,0.06,-0.022,0.059
123,0.067,0.071,0.071,-0.022,0.068
123.5,0.069,0.074,0.077,-0.031,0.065
124,0.069,0.072,0.081,-0.021,0.072
124.5,0.079,0.067,0.075,-0.01,0.072
125,0.088,0.063,0.063,-0.01,0.074
125.5,0.085,0.057,0.057,-0.005,0.067
126,0.083,0.055,0.045,-0.012,0.065
126.5,0.078,0.054,0.043,-0.016,0.062
127,0.08,0.063,0.049,-0.015,0.062
127.5,0.078,0.069,0.067,-0.02,0.073
128,0.073,0.065,0.073,-0.019,0.077
128.5,0.07,0.073,0.069,-0.006,0.074
129,0.064,0.074,0.081,0.011,0.068
129.5,0.076,0.071,0.076,0.023,0.063
130,0.079,0.074,0.07,0.037,0.06
130.5,0.074,0.074,0.064,0.041,0.06
131,0.07,0.073,0.057,0.042,0.06
131.5,0.058,0.068,0.055,0.043,0.062
132,0.053,0.068,0.051,0.042,0.061
132.5,0.051,0.066,0.057,0.043,0.075
133,0.06,0.069,0.063,0.04,0.074
133.5,0.063,0.074,0.066,0.047,0.079
134,0.072,0.063,0.064,0.057,0.078
134.5,0.078,0.052,0.052,0.057,0.076
135,0.076,0.051,0.048,0.061,0.073
135.5,0.085,0.05,0.036,0.055,0.069
136,0.081,0.06,0.03,0.054,0.067
136.5,0.078,0.066,0.042,0.049,0.07
137,0.076,0.068,0.049,0.043,0.078
137.5,0.069,0.07,0.053,0.049,0.081
138,0.067,0.081,0.051,0.064,0.066
138.5,0.066,0.085,0.058,0.075,0.069
139,0.067,0.089,0.06,0.077,0.058
139.5,0.07,0.096,0.054,0.077,0.053
140,0.068,0.097,0.05,0.076,0.042
140.5,0.067,0.1,0.041,0.07,0.041
141,0.058,0.092,0.041,0.075,0.058
141.5,0.052,0.087,0.035,0.067,0.067
142,0.046,0.082,0.033,0.065,0.077
142.5,0.051,0.081,0.037,0.063,0.078
143,0.057,0.088,0.036,0.061,0.078
143.5,0.06,0.076,0.04,0.063,0.08
144,0.064,0.071,0.037,0.064,0.072
144.5,0.064,0.066,0.035,0.064,0.072
145,0.068,0.062,0.029,0.059,0.065
145.5,0.07,0.051,0.022,0.055,0.063
146,0.065,0.045,0.017,0.049,0.066
146.5,0.062,0.062,0.019,0.036,0.067
147,0.053,0.068,0.031,0.043,0.072
147.5,0.05,0.069,0.033,0.06,0.066
148,0.049,0.074,0.039,0.07,0.064
148.5,0.056,0.073,0.041,0.074,0.06
149,0.056,0.083,0.037,0.071,0.053
149.5,0.047,0.081,0.039,0.073,0.042
150,0.047,0.078,0.03,0.07,0.039
150.5,0.042,0.076,0.028,0.071,0.048
151,0.035,0.069,0.027,0.069,0.058
151.5,0.028,0.066,0.026,0.068,0.071
152,0.026,0.066,0.027,0.068,0.071
152.5,0.031,0.066,0.027,0.064,0.066
153,0.031,0.064,0.028,0.071,0.074
153.5,0.037,0.062,0.024,0.067,0.069
154,0.039,0.055,0.018,0.067,0.067
154.5,0.043,0.043,0.008,0.065,0.06
155,0.044,0.037,-0.015,0.055,0.058
155.5,0.038,0.039,-0.036,0.05,0.054
156,0.038,0.054,-0.067,0.043,0.055
156.5,0.036,0.061,-0.113,0.057,0.06
157,0.035,0.061,-0.152,0.071,0.056
157.5,0.036,0.065,-0.157,0.07,0.055
158,0.036,0.063,-0.139,0.07,0.047
158.5,0.035,0.065,-0.105,0.068,0.034
159,0.033,0.06,-0.082,0.073,0.032
159.5,0.034,0.059,-0.076,0.075,0.027
160,0.033,0.053,-0.07,0.075,0.032
160.5,0.026,0.047,-0.063,0.068,0.035
161,0.024,0.05,-0.026,0.069,0.03
161.5,0.025,0.046,0.011,0.073,0.034
162,0.028,0.046,0.015,0.066,0.034
162.5,0.03,0.046,0.013,0.067,0.04
163,0.03,0.044,0.008,0.064,0.038
163.5,0.03,0.046,-0.013,0.057,0.035
164,0.028,0.037,-0.046,0.056,0.037
164.5,0.03,0.029,-0.065,0.048,0.033
165,0.028,0.025,-0.052,0.047,0.035
165.5,0.025,0.027,-0.025,0.041,0.028
166,0.018,0.031,-0.02,0.048,0.03
166.5,0.003,0.032,-0.018,0.056,0.028
167,-0.018,0.034,-0.021,0.054,0.028
167.5,-0.057,0.039,-0.026,0.061,0.03
168,-0.118,0.041,-0.03,0.06,0.026
168.5,-0.168,0.04,-0.033,0.063,0.027
169,-0.181,0.033,-0.03,0.061,0.024
169.5,-0.16,0.031,-0.023,0.06,0.021
170,-0.122,0.026,-0.018,0.064,0.026
170.5,-0.087,0.025,-0.012,0.06,0.027
171,-0.066,0.028,-0.01,0.061,0.027
171.5,-0.056,0.027,-0.007,0.058,0.026
172,-0.044,0.032,-0.007,0.053,0.027
172.5,-0.039,0.034,-0.006,0.053,0.029
173,-0.037,0.036,-0.006,0.048,0.027
173.5,-0.035,0.027,-0.007,0.052,0.024
174,-0.033,0.016,-0.006,0.047,0.016
174.5,-0.032,0.008,0.011,0.044,0.01
175,-0.033,-0.172,0.02,0.036,-0.016
175.5,-0.027,-0.134,0.025,0.037,-0.042
176,-0.024,-0.015,0.029,0.04,-0.069
176.5,-0.026,-0.002,0.033,0.042,-0.114
177,-0.03,-0.016,0.042,0.045,-0.14
177.5,-0.028,-0.054,0.048,0.043,-0.127
178,-0.03,-0.119,0.048,0.04,-0.088
178.5,-0.031,-0.178,0.049,0.042,-0.052
179,-0.034,-0.193,0.047,0.039,-0.027
179.5,-0.035,-0.152,0.051,0.042,-0.019
180,-0.036,-0.094,0.053,0.039,-0.017
180.5,-0.035,-0.063,0.052,0.038,-0.021
181,-0.034,-0.046,0.059,0.036,-0.024
181.5,-0.028,-0.001,0.059,0.033,-0.029
182,-0.023,0.003,0.059,0.037,-0.035
182.5,-0.019,-0.008,0.054,0.03,-0.039
183,-0.02,-0.013,0.052,0.032,-0.035
183.5,-0.02,-0.027,0.048,0.031,-0.031
184,-0.018,-0.041,0.055,0.028,-0.032
184.5,-0.011,-0.039,0.062,0.026,-0.038
185,-0.001,-0.037,0.059,0.02,-0.042
185.5,0.009,-0.029,0.064,0.028,-0.043
186,0.021,-0.029,0.068,0.027,-0.047
186.5,0.027,-0.03,0.066,0.03,-0.048
187,0.032,-0.025,0.076,0.03,-0.048
187.5,0.041,-0.035,0.076,0.027,-0.043
188,0.044,-0.039,0.085,0.031,-0.038
188.5,0.051,-0.035,0.08,0.029,-0.028
189,0.051,-0.027,0.074,0.028,-0.018
189.5,0.048,-0.022,0.072,0.026,-0.014
190,0.043,-0.022,0.065,0.021,-0.007
190.5,0.041,-0.02,0.068,0.021,-0.003
191,0.054,-0.01,0.071,0.019,0
191.5,0.062,-0.001,0.071,0.02,0.006
192,0.069,0.004,0.066,0.018,0.014
192.5,0.074,0.003,0.056,0.01,0.022
193,0.076,0.002,0.056,-0.006,0.031
193.5,0.079,0.007,0.061,-0.043,0.034
194,0.074,0.012,0.064,-0.09,0.039
194.5,0.075,0.014,0.06,-0.143,0.035
195,0.075,0.022,0.063,-0.16,0.044
195.5,0.074,0.028,0.071,-0.153,0.048
196,0.072,0.03,0.071,-0.119,0.048
196.5,0.069,0.034,0.078,-0.083,0.049
197,0.069,0.039,0.072,-0.062,0.046
197.5,0.064,0.044,0.073,-0.058,0.047
198,0.063,0.046,0.072,-0.054,0.053
198.5,0.06,0.052,0.067,-0.047,0.059
199,0.055,0.056,0.064,-0.041,0.066
199.5,0.049,0.061,0.061,-0.037,0.06
200,0.049,0.062,0.063,-0.035,0.069
200.5,0.061,0.067,0.067,-0.035,0.066
201,0.066,0.071,0.067,-0.032,0.068
201.5,0.068,0.066,0.064,-0.031,0.073
202,0.069,0.069,0.054,-0.034,0.074
202.5,0.072,0.062,0.052,-0.038,0.068
203,0.082,0.057,0.047,-0.041,0.063
203.5,0.082,0.052,0.061,-0.044,0.064
204,0.083,0.042,0.062,-0.045,0.061
204.5,0.083,0.051,0.061,-0.043,0.068
205,0.079,0.065,0.071,-0.037,0.067
205.5,0.08,0.073,0.072,-0.036,0.056
206,0.082,0.079,0.075,-0.032,0.053
206.5,0.084,0.079,0.074,-0.028,0.038
207,0.083,0.081,0.072,-0.021,0.049
207.5,0.078,0.075,0.072,-0.015,0.068
208,0.073,0.076,0.064,-0.01,0.064
208.5,0.063,0.069,0.068,-0.004,0.063
209,0.059,0.066,0.059,0,0.069
209.5,0.056,0.063,0.055,0.009,0.079
210,0.06,0.064,0.065,0.019,0.081
210.5,0.068,0.072,0.06,0.021,0.081
211,0.069,0.068,0.058,0.021,0.093
211.5,0.071,0.066,0.054,0.031,0.085
212,0.07,0.061,0.049,0.034,0.095
212.5,0.077,0.055,0.042,0.031,0.085
213,0.082,0.051,0.046,0.03,0.08
213.5,0.077,0.044,0.044,0.029,0.077
214,0.077,0.059,0.045,0.027,0.082
214.5,0.068,0.069,0.055,0.04,0.081
215,0.066,0.074,0.058,0.043,0.071
215.5,0.065,0.082,0.061,0.052,0.066
216,0.07,0.078,0.062,0.055,0.059
216.5,0.072,0.081,0.053,0.058,0.051
217,0.069,0.078,0.054,0.067,0.053
217.5,0.068,0.079,0.048,0.07,0.057
218,0.061,0.078,0.045,0.075,0.062
218.5,0.054,0.071,0.04,0.071,0.062
219,0.048,0.069,0.038,0.07,0.068
219.5,0.049,0.066,0.044,0.072,0.075
220,0.058,0.073,0.04,0.057,0.074
220.5,0.063,0.07,0.039,0.075,0.079
221,0.072,0.066,0.036,0.076,0.077
221.5,0.08,0.061,0.032,0.075,0.077
222,0.084,0.052,0.029,0.069,0.071
222.5,0.082,0.051,0.021,0.062,0.071
223,0.074,0.046,0.025,0.057,0.074
223.5,0.069,0.057,0.024,0.05,0.068
224,0.06,0.067,0.032,0.056,0.071
224.5,0.047,0.072,0.035,0.058,0.066
225,0.045,0.073,0.034,0.06,0.063
225.5,0.056,0.073,0.035,0.065,0.058
226,0.064,0.079,0.035,0.063,0.045
226.5,0.062,0.078,0.036,0.071,0.051
227,0.062,0.078,0.033,0.068,0.053
227.5,0.056,0.078,0.03,0.068,0.064
228,0.046,0.068,0.029,0.065,0.072
228.5,0.039,0.073,0.025,0.058,0.074
229,0.034,0.069,0.031,0.059,0.076
229.5,0.043,0.072,0.031,0.057,0.074
230,0.049,0.067,0.03,0.065,0.075
230.5,0.054,0.063,0.03,0.067,0.069
231,0.056,0.061,0.025,0.069,0.069
231.5,0.053,0.057,0.02,0.065,0.065
232,0.053,0.054,0.016,0.058,0.056
232.5,0.049,0.051,0.019,0.055,0.062
233,0.046,0.055,0.021,0.046,0.057
233.5,0.044,0.057,0.022,0.039,0.063
234,0.04,0.054,0.023,0.04,0.062
234.5,0.038,0.061,0.022,0.053,0.057
235,0.034,0.058,0.026,0.068,0.048
235.5,0.038,0.06,0.025,0.073,0.038
236,0.04,0.062,0.021,0.085,0.036
236.5,0.038,0.058,0.011,0.082,0.039
237,0.035,0.057,-0.018,0.08,0.045
237.5,0.026,0.055,-0.059,0.074,0.05
238,0.019,0.052,-0.113,0.068,0.047
238.5,0.017,0.049,-0.172,0.069,0.055
239,0.028,0.047,-0.184,0.063,0.056
239.5,0.032,0.049,-0.131,0.065,0.055
240,0.028,0.043,-0.078,0.076,0.05
240.5,0.031,0.044,-0.051,0.075,0.041
241,0.033,0.041,-0.042,0.077,0.043
241.5,0.038,0.038,-0.039,0.064,0.036
242,0.038,0.032,-0.035,0.06,0.041
242.5,0.028,0.029,-0.043,0.05,0.04
243,0.012,0.038,-0.053,0.042,0.041
243.5,-0.004,0.038,-0.047,0.05,0.045
244,-0.017,0.042,-0.038,0.064,0.042
244.5,-0.032,0.04,-0.033,0.076,0.039
245,-0.034,0.037,-0.031,0.079,0.03
245.5,-0.031,0.039,-0.031,0.075,0.024
246,-0.036,0.034,-0.029,0.081,0.025
246.5,-0.056,0.035,-0.025,0.068,0.031
247,-0.103,0.033,-0.026,0.065,0.036
247.5,-0.167,0.032,-0.031,0.059,0.036
248,-0.199,0.032,-0.035,0.059,0.04
248.5,-0.172,0.031,-0.026,0.055,0.042
249,-0.117,0.033,-0.018,0.053,0.038
249.5,-0.083,0.03,-0.019,0.064,0.036
250,-0.063,0.028,-0.02,0.064,0.031
250.5,-0.045,0.028,-0.024,0.066,0.03
251,-0.042,0.026,-0.027,0.057,0.028
251.5,-0.041,0.025,-0.027,0.046,0.027
252,-0.038,0.023,-0.027,0.04,0.029
252.5,-0.031,0.027,-0.019,0.031,0.031
253,-0.026,0.028,-0.014,0.041,0.035
253.5,-0.021,0.026,-0.007,0.054,0.029
254,-0.02,0.027,-0.002,0.054,0.021
254.5,-0.007,0.026,0.006,0.054,0.004
255,0.008,0.027,0.013,0.055,-0.034
255.5,0.002,0.022,0.02,0.063,-0.087
256,-0.015,0.019,0.023,0.055,-0.11
256.5,-0.032,-0.222,0.028,0.052,-0.149
257,-0.039,-0.1,0.033,0.047,-0.167
257.5,-0.033,-0.057,0.034,0.04,-0.131
258,-0.029,-0.08,0.044,0.039,-0.09
258.5,-0.024,-0.117,0.045,0.033,-0.062
259,-0.023,-0.144,0.051,0.04,-0.082
259.5,-0.026,-0.126,0.05,0.041,-0.104
260,-0.022,-0.093,0.046,0.04,-0.04
260.5,-0.015,-0.071,0.042,0.039,-0.018
261,-0.006,-0.056,0.032,0.034,-0.018
261.5,0.001,-0.041,0.038,0.031,-0.007
262,0.008,-0.031,0.05,0.024,0.015
262.5,0.015,-0.026,0.059,0.019,0.014
263,0.02,-0.031,0.06,0.02,-0.002
263.5,0.024,-0.045,0.063,0.03,-0.017
264,0.027,-0.045,0.07,0.035,-0.035
264.5,0.038,-0.045,0.066,0.038,-0.048
265,0.043,-0.043,0.068,0.043,-0.043
265.5,0.043,-0.041,0.064,0.041,-0.034
266,0.039,-0.038,0.06,0.037,-0.032
266.5,0.034,-0.035,0.061,0.034,-0.025
267,0.035,-0.021,0.057,0.027,-0.011
267.5,0.032,-0.022,0.073,0.029,-0.006
268,0.039,-0.026,0.07,0.027,-0.011
268.5,0.04,-0.023,0.064,0.029,-0.016
269,0.044,-0.027,0.057,0.029,-0.018
269.5,0.049,-0.035,0.052,0.028,-0.005
270,0.054,-0.044,0.051,0.027,0.004
270.5,0.061,-0.045,0.046,0.02,0.006
271,0.062,-0.044,0.057,0.016,0.018
271.5,0.061,-0.036,0.062,0.005,0.032
272,0.06,-0.028,0.062,-0.007,0.032
272.5,0.056,-0.019,0.068,-0.018,0.029
273,0.056,-0.012,0.069,-0.059,0.026
273.5,0.056,-0.007,0.071,-0.106,0.026
274,0.065,0.001,0.071,-0.144,0.019
274.5,0.067,0.011,0.075,-0.161,0.014
275,0.065,0.02,0.067,-0.147,0.02
275.5,0.065,0.029,0.061,-0.108,0.027
276,0.057,0.034,0.068,-0.074,0.041
276.5,0.055,0.035,0.07,-0.058,0.047
277,0.048,0.035,0.075,-0.055,0.056
277.5,0.048,0.042,0.073,-0.021,0.058
278,0.054,0.052,0.063,-0.015,0.066
278.5,0.062,0.051,0.062,-0.027,0.066
279,0.07,0.054,0.056,0.001,0.061
279.5,0.075,0.052,0.053,0.014,0.066
280,0.079,0.05,0.045,-0.006,0.057
280.5,0.08,0.047,0.051,-0.037,0.062
281,0.078,0.042,0.062,-0.06,0.066
281.5,0.078,0.052,0.062,-0.051,0.067
282,0.071,0.059,0.07,-0.024,0.066
282.5,0.072,0.066,0.071,-0.02,0.06
283,0.071,0.072,0.073,-0.019,0.06
283.5,0.078,0.072,0.072,-0.018,0.052
284,0.08,0.076,0.068,-0.023,0.047
284.5,0.073,0.072,0.069,-0.03,0.046
285,0.072,0.073,0.066,-0.033,0.05
285.5,0.066,0.072,0.067,-0.033,0.065
286,0.06,0.065,0.072,-0.025,0.066
286.5,0.055,0.06,0.067,-0.016,0.073
287,0.051,0.058,0.064,-0.01,0.077
287.5,0.061,0.069,0.06,-0.011,0.069
288,0.068,0.069,0.061,-0.008,0.073
288.5,0.077,0.067,0.054,-0.006,0.069
